Match_ID,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,rain_game
1190,2011-10-01,Hertha,FC Koln,3,0,H,0
1191,2011-08-27,Hamburg,FC Koln,3,4,A,1
1192,2012-01-21,Wolfsburg,FC Koln,1,0,H,0
1193,2012-03-18,Hannover,FC Koln,4,1,H,0
1194,2011-08-06,Augsburg,Freiburg,2,2,D,0
1195,2011-09-24,Schalke 04,Freiburg,4,2,H,0
1196,2012-03-10,M'gladbach,Freiburg,0,0,D,0
1197,2011-09-10,Bayern Munich,Freiburg,7,0,H,0
1198,2012-04-22,Hannover,Freiburg,0,0,D,0
1199,2011-08-20,Werder Bremen,Freiburg,5,3,H,0
1200,2012-03-17,Hamburg,Freiburg,1,3,A,0
1201,2012-02-10,Wolfsburg,Freiburg,3,2,H,0
1202,2011-10-22,Kaiserslautern,Freiburg,1,0,H,0
1203,2011-11-26,Hoffenheim,Freiburg,1,1,D,0
1204,2012-02-25,Stuttgart,Freiburg,4,1,H,0
1205,2011-12-10,FC Koln,Freiburg,4,0,H,0
1206,2012-03-31,Leverkusen,Freiburg,0,2,A,0
1207,2012-05-05,Dortmund,Freiburg,4,0,H,0
1208,2012-04-10,Hertha,Freiburg,1,2,A,0
1209,2012-01-29,Mainz,Freiburg,3,1,H,0
1210,2011-11-05,Nurnberg,Freiburg,1,2,A,0
1211,2011-08-20,Bayern Munich,Hamburg,5,0,H,0
1212,2012-04-11,Hoffenheim,Hamburg,4,0,H,0
1213,2011-12-10,Mainz,Hamburg,0,0,D,0
1214,2011-10-16,Freiburg,Hamburg,1,2,A,0
1215,2012-03-31,Kaiserslautern,Hamburg,0,1,A,0
1216,2012-03-11,Schalke 04,Hamburg,3,1,H,0
1217,2012-04-21,Nurnberg,Hamburg,1,1,D,0
1218,2011-09-10,Werder Bremen,Hamburg,2,0,H,0
1219,2011-08-05,Dortmund,Hamburg,3,1,H,1
1220,2012-03-23,Wolfsburg,Hamburg,2,1,H,0
1221,2012-02-12,FC Koln,Hamburg,0,1,A,0
1222,2011-11-26,Hannover,Hamburg,1,1,D,0
1223,2012-05-05,Augsburg,Hamburg,1,0,H,0
1224,2011-09-23,Stuttgart,Hamburg,1,2,A,0
1225,2012-02-24,M'gladbach,Hamburg,1,1,D,0
1226,2011-11-05,Leverkusen,Hamburg,2,2,D,0
1227,2012-01-28,Hertha,Hamburg,1,2,A,0
1228,2012-01-28,Augsburg,Kaiserslautern,2,2,D,0
1229,2012-05-05,Hannover,Kaiserslautern,2,1,H,0
1230,2012-02-25,Mainz,Kaiserslautern,4,0,H,0
1231,2011-10-30,Hamburg,Kaiserslautern,1,1,D,0
1232,2011-10-15,Schalke 04,Kaiserslautern,1,2,A,0
1233,2011-12-11,Dortmund,Kaiserslautern,1,1,D,0
1234,2012-04-11,Leverkusen,Kaiserslautern,3,1,H,0
1235,2012-02-11,Bayern Munich,Kaiserslautern,2,0,H,0
1236,2011-09-10,M'gladbach,Kaiserslautern,1,0,H,0
1237,2011-08-06,Werder Bremen,Kaiserslautern,2,0,H,0
1238,2011-11-05,Hoffenheim,Kaiserslautern,1,1,D,0
1239,2011-08-20,FC Koln,Kaiserslautern,1,1,D,0
1240,2011-11-26,Nurnberg,Kaiserslautern,1,0,H,0
1241,2012-03-09,Stuttgart,Kaiserslautern,0,0,D,0
1242,2011-09-24,Wolfsburg,Kaiserslautern,1,0,H,0
1243,2012-03-24,Freiburg,Kaiserslautern,2,0,H,0
1244,2012-04-21,Hertha,Kaiserslautern,1,2,A,0
1245,2011-10-15,Union Berlin,Karlsruhe,2,0,H,0
1246,2011-11-18,Paderborn,Karlsruhe,2,1,H,1
1247,2012-04-29,Aachen,Karlsruhe,1,0,H,0
1248,2011-09-25,Hansa Rostock,Karlsruhe,1,1,D,0
1249,2011-12-09,Duisburg,Karlsruhe,3,1,H,0
1250,2011-12-03,Ein Frankfurt,Karlsruhe,2,0,H,1
1251,2012-04-15,Ingolstadt,Karlsruhe,2,1,H,0
1252,2012-04-08,Bochum,Karlsruhe,0,0,D,0
1253,2012-02-11,Braunschweig,Karlsruhe,0,0,D,0
1254,2011-10-29,Dresden,Karlsruhe,5,1,H,0
1255,2011-09-10,Fortuna Dusseldorf,Karlsruhe,4,2,H,0
1256,2012-03-12,St Pauli,Karlsruhe,1,0,H,0
1257,2011-08-21,Cottbus,Karlsruhe,2,0,H,0
1258,2012-02-26,Frankfurt FSV,Karlsruhe,2,1,H,0
1259,2012-03-24,Greuther Furth,Karlsruhe,3,0,H,0
1260,2011-08-07,Erzgebirge Aue,Karlsruhe,0,2,A,0
1261,2011-07-23,Munich 1860,Karlsruhe,2,1,H,0
1262,2011-09-24,Bayern Munich,Leverkusen,3,0,H,0
1263,2011-11-26,Hertha,Leverkusen,3,3,D,0
1264,2012-03-24,Schalke 04,Leverkusen,2,0,H,0
1265,2011-11-18,Kaiserslautern,Leverkusen,0,2,A,1
1266,2012-04-21,Hoffenheim,Leverkusen,0,1,A,0
1267,2012-04-08,Hamburg,Leverkusen,1,1,D,0
1268,2012-02-11,Dortmund,Leverkusen,1,0,H,0
1269,2012-02-25,FC Koln,Leverkusen,0,2,A,0
1270,2012-05-05,Nurnberg,Leverkusen,1,4,A,0
1271,2012-03-10,Wolfsburg,Leverkusen,3,2,H,0
1272,2012-01-28,Werder Bremen,Leverkusen,1,1,D,0
1273,2011-09-09,Augsburg,Leverkusen,1,4,A,0
1274,2011-10-15,M'gladbach,Leverkusen,2,2,D,0
1275,2011-12-10,Hannover,Leverkusen,0,0,D,0
1276,2011-08-07,Mainz,Leverkusen,2,0,H,0
1277,2011-10-28,Freiburg,Leverkusen,0,1,A,0
1278,2011-08-20,Stuttgart,Leverkusen,0,1,A,0
1279,2012-04-14,Kaiserslautern,Nurnberg,0,2,A,0
1280,2012-01-27,Hannover,Nurnberg,1,0,H,0
1281,2012-03-10,Mainz,Nurnberg,2,1,H,0
1282,2012-02-25,Werder Bremen,Nurnberg,0,1,A,0
1283,2012-04-28,Hoffenheim,Nurnberg,2,3,A,0
1284,2011-12-17,Leverkusen,Nurnberg,0,3,A,0
1285,2011-10-15,Wolfsburg,Nurnberg,2,1,H,0
1286,2012-02-12,Augsburg,Nurnberg,0,0,D,0
1287,2012-03-25,Stuttgart,Nurnberg,1,0,H,0
1288,2011-12-04,Hamburg,Nurnberg,2,0,H,0
1289,2011-11-19,Schalke 04,Nurnberg,4,0,H,0
1290,2011-09-11,FC Koln,Nurnberg,1,2,A,0
1291,2012-04-07,Freiburg,Nurnberg,2,2,D,0
1292,2011-08-06,Hertha,Nurnberg,0,1,A,0
1293,2011-10-29,Bayern Munich,Nurnberg,4,0,H,0
1294,2011-09-24,M'gladbach,Nurnberg,1,0,H,0
1295,2011-08-20,Dortmund,Nurnberg,2,0,H,0
1296,2012-04-01,Hoffenheim,Schalke 04,1,1,D,0
1297,2012-04-11,Nurnberg,Schalke 04,4,1,H,0
1298,2011-09-11,Wolfsburg,Schalke 04,2,1,H,0
1299,2012-01-28,FC Koln,Schalke 04,1,4,A,0
1300,2011-11-06,Hannover,Schalke 04,2,2,D,0
1301,2012-05-05,Werder Bremen,Schalke 04,2,3,A,0
1302,2012-03-03,Freiburg,Schalke 04,2,1,H,0
